front,back
"Was sind die Grundsätze ordnungsmäßiger Buchführung?</vorn>
","1. Klarheit und Eindeutigkeit, 2. Vollständigkeit, 3. Richtigkeit, 4. Verlässlichkeit, 5. Ordnungsmäßige Aufbewahrung und Dokumentation, 6. Zeitnahe Erfassung</hinten>

<vorn>Was bedeutet der Grundsatz ""Klarheit und Eindeutigkeit"" in der Buchführung?</vorn>
<hinten>Es bedeutet, dass alle Buchungsvorgänge eindeutig und klar verständlich dokumentiert werden müssen.</hinten>

<vorn>Nenne einen weiteren Grundsatz ordnungsmäßiger Buchführung.</vorn>
<hinten>Die Richtigkeit, also die korrekte Erfassung und Verbuchung aller Geschäftsvorfälle.</hinten>

<vorn>Was bedeutet der Grundsatz ""Ordnungsmäßige Aufbewahrung und Dokumentation""?</vorn>
<hinten>Es bedeutet, dass alle Unterlagen und Belege ordnungsgemäß aufbewahrt und dokumentiert werden müssen, damit sie im Bedarfsfall nachvollziehbar sind.</hinten>"
"Was bedeutet der Grundsatz ""Klarheit und Eindeutigkeit"" in der Buchführung?</vorn>
","Es bedeutet, dass alle Buchungsvorgänge eindeutig und klar verständlich dokumentiert werden müssen.</hinten>

<vorn>Nenne einen weiteren Grundsatz ordnungsmäßiger Buchführung.</vorn>
<hinten>Die Richtigkeit, also die korrekte Erfassung und Verbuchung aller Geschäftsvorfälle.</hinten>

<vorn>Was bedeutet der Grundsatz ""Ordnungsmäßige Aufbewahrung und Dokumentation""?</vorn>
<hinten>Es bedeutet, dass alle Unterlagen und Belege ordnungsgemäß aufbewahrt und dokumentiert werden müssen, damit sie im Bedarfsfall nachvollziehbar sind.</hinten>"
"Nenne einen weiteren Grundsatz ordnungsmäßiger Buchführung.</vorn>
","Die Richtigkeit, also die korrekte Erfassung und Verbuchung aller Geschäftsvorfälle.</hinten>

<vorn>Was bedeutet der Grundsatz ""Ordnungsmäßige Aufbewahrung und Dokumentation""?</vorn>
<hinten>Es bedeutet, dass alle Unterlagen und Belege ordnungsgemäß aufbewahrt und dokumentiert werden müssen, damit sie im Bedarfsfall nachvollziehbar sind.</hinten>"
"Was bedeutet der Grundsatz ""Ordnungsmäßige Aufbewahrung und Dokumentation""?</vorn>
","Es bedeutet, dass alle Unterlagen und Belege ordnungsgemäß aufbewahrt und dokumentiert werden müssen, damit sie im Bedarfsfall nachvollziehbar sind.</hinten>"
"Was sind die Grundsätze ordnungsmäßiger Buchführung?</vorn>
","Die Grundsätze ordnungsmäßiger Buchführung bezeichnen die Normen, die die gesetzlichen Jahresabschlussaufgaben konkretisieren.</hinten>

<vorn>Welche rechtlichen Grundlagen gibt es für die Erstellung von Inventar, Bilanz und Gewinn- und Verlustrechnung?</vorn>
<hinten>Die rechtlichen Grundlagen für die Erstellung von Inventar, Bilanz und Gewinn- und Verlustrechnung sind in § 243 Abs. 1 HGB festgelegt.</hinten>

<vorn>Was besagt die Generalklausel des § 243 Abs. 1 HGB?</vorn>
<hinten>Die Generalklausel des § 243 Abs. 1 HGB besagt, dass der Jahresabschluss die Grundlagen für das Verständnis der Vermögens-, Finanz- und Ertragslage eines Unternehmens vermitteln muss.</hinten>

<vorn>Was ist das Vorsichtsprinzip?</vorn>
<hinten>Das Vorsichtsprinzip besagt, dass bei der Bewertung von Vermögensgegenständen und Schulden eher vorsichtig und konservativ vorgegangen werden sollte, um mögliche Verluste frühzeitig zu berücksichtigen.</hinten>

<vorn>Was ist das Realisationsprinzip?</vorn>
<hinten>Das Realisationsprinzip besagt, dass Erträge nur dann in der Gewinn- und Verlustrechnung erfasst werden dürfen, wenn sie realisiert sind, d.h. wenn sie wirtschaftlich verwertbar sind.</hinten>

<vorn>Was ist das Imparitätsprinzip?</vorn>
<hinten>Das Imparitätsprinzip besagt, dass Verluste in der Bilanz bereits dann zu berücksichtigen sind, wenn sie absehbar sind, während Gewinne erst dann erfasst werden dürfen, wenn sie realisiert sind.</hinten>"
"Welche rechtlichen Grundlagen gibt es für die Erstellung von Inventar, Bilanz und Gewinn- und Verlustrechnung?</vorn>
","Die rechtlichen Grundlagen für die Erstellung von Inventar, Bilanz und Gewinn- und Verlustrechnung sind in § 243 Abs. 1 HGB festgelegt.</hinten>

<vorn>Was besagt die Generalklausel des § 243 Abs. 1 HGB?</vorn>
<hinten>Die Generalklausel des § 243 Abs. 1 HGB besagt, dass der Jahresabschluss die Grundlagen für das Verständnis der Vermögens-, Finanz- und Ertragslage eines Unternehmens vermitteln muss.</hinten>

<vorn>Was ist das Vorsichtsprinzip?</vorn>
<hinten>Das Vorsichtsprinzip besagt, dass bei der Bewertung von Vermögensgegenständen und Schulden eher vorsichtig und konservativ vorgegangen werden sollte, um mögliche Verluste frühzeitig zu berücksichtigen.</hinten>

<vorn>Was ist das Realisationsprinzip?</vorn>
<hinten>Das Realisationsprinzip besagt, dass Erträge nur dann in der Gewinn- und Verlustrechnung erfasst werden dürfen, wenn sie realisiert sind, d.h. wenn sie wirtschaftlich verwertbar sind.</hinten>

<vorn>Was ist das Imparitätsprinzip?</vorn>
<hinten>Das Imparitätsprinzip besagt, dass Verluste in der Bilanz bereits dann zu berücksichtigen sind, wenn sie absehbar sind, während Gewinne erst dann erfasst werden dürfen, wenn sie realisiert sind.</hinten>"
"Was besagt die Generalklausel des § 243 Abs. 1 HGB?</vorn>
","Die Generalklausel des § 243 Abs. 1 HGB besagt, dass der Jahresabschluss die Grundlagen für das Verständnis der Vermögens-, Finanz- und Ertragslage eines Unternehmens vermitteln muss.</hinten>

<vorn>Was ist das Vorsichtsprinzip?</vorn>
<hinten>Das Vorsichtsprinzip besagt, dass bei der Bewertung von Vermögensgegenständen und Schulden eher vorsichtig und konservativ vorgegangen werden sollte, um mögliche Verluste frühzeitig zu berücksichtigen.</hinten>

<vorn>Was ist das Realisationsprinzip?</vorn>
<hinten>Das Realisationsprinzip besagt, dass Erträge nur dann in der Gewinn- und Verlustrechnung erfasst werden dürfen, wenn sie realisiert sind, d.h. wenn sie wirtschaftlich verwertbar sind.</hinten>

<vorn>Was ist das Imparitätsprinzip?</vorn>
<hinten>Das Imparitätsprinzip besagt, dass Verluste in der Bilanz bereits dann zu berücksichtigen sind, wenn sie absehbar sind, während Gewinne erst dann erfasst werden dürfen, wenn sie realisiert sind.</hinten>"
"Was ist das Vorsichtsprinzip?</vorn>
","Das Vorsichtsprinzip besagt, dass bei der Bewertung von Vermögensgegenständen und Schulden eher vorsichtig und konservativ vorgegangen werden sollte, um mögliche Verluste frühzeitig zu berücksichtigen.</hinten>

<vorn>Was ist das Realisationsprinzip?</vorn>
<hinten>Das Realisationsprinzip besagt, dass Erträge nur dann in der Gewinn- und Verlustrechnung erfasst werden dürfen, wenn sie realisiert sind, d.h. wenn sie wirtschaftlich verwertbar sind.</hinten>

<vorn>Was ist das Imparitätsprinzip?</vorn>
<hinten>Das Imparitätsprinzip besagt, dass Verluste in der Bilanz bereits dann zu berücksichtigen sind, wenn sie absehbar sind, während Gewinne erst dann erfasst werden dürfen, wenn sie realisiert sind.</hinten>"
"Was ist das Realisationsprinzip?</vorn>
","Das Realisationsprinzip besagt, dass Erträge nur dann in der Gewinn- und Verlustrechnung erfasst werden dürfen, wenn sie realisiert sind, d.h. wenn sie wirtschaftlich verwertbar sind.</hinten>

<vorn>Was ist das Imparitätsprinzip?</vorn>
<hinten>Das Imparitätsprinzip besagt, dass Verluste in der Bilanz bereits dann zu berücksichtigen sind, wenn sie absehbar sind, während Gewinne erst dann erfasst werden dürfen, wenn sie realisiert sind.</hinten>"
"Was ist das Imparitätsprinzip?</vorn>
","Das Imparitätsprinzip besagt, dass Verluste in der Bilanz bereits dann zu berücksichtigen sind, wenn sie absehbar sind, während Gewinne erst dann erfasst werden dürfen, wenn sie realisiert sind.</hinten>"
